"BMD Export","BMD-Export"
"BMD Export Assistant","BMD-Export-Assistent"
"BMD Export Batches","BMD-Exportläufe"
"BMD Export Help","BMD-Export-Hilfe"
"BMD Export Settings","BMD-Exporteinstellungen"
"Home","Startseite"
"Configuration","Konfiguration"
"Export Profiles","Exportprofile"
"BMD Accounts","BMD-Konten"
"Account Mappings","Kontenzuordnungen"
"Party Mappings","Kunden-/Lieferantenzuordnungen"
"Tax Mappings","Steuerzuordnungen"
"Dimension Mappings","Dimensionszuordnungen"
"Missing Mappings","Fehlende Zuordnungen"
"BMD Account","BMD-Konto"
"BMD Account Mapping","BMD-Kontenzuordnung"
"BMD Dimension Mapping","BMD-Dimensionszuordnung"
"BMD Export Batch","BMD-Exportlauf"
"BMD Export Batch Item","BMD-Exportposition"
"BMD Export Profile","BMD-Exportprofil"
"BMD Export Profile Column","BMD-Exportprofilspalte"
"BMD Party Mapping","BMD-Kunden-/Lieferantenzuordnung"
"BMD Tax Mapping","BMD-Steuerzuordnung"
"General","Allgemein"
"BMD Account Number","BMD-Kontonummer"
"Account Name","Kontobezeichnung"
"Account Type","Kontotyp"
"Imported At","Importiert am"
"ERPNext Account","ERPNext-Konto"
"Validity","Gültigkeit"
"Optional Conditions","Optionale Bedingungen"
"Party Type","Partnerart"
"Party","Kunde/Lieferant"
"BMD Person Account","BMD-Personenkonto"
"ERPNext Source","ERPNext-Quelle"
"Source Type","Quelltyp"
"Accounting Dimension Field","Feld der Buchhaltungsdimension"
"ERPNext Value","ERPNext-Wert"
"BMD Target","BMD-Ziel"
"BMD Target Field","BMD-Zielfeld"
"BMD Value","BMD-Wert"
"Matching Rules","Zuordnungsregeln"
"Transaction Type","Transaktionsart"
"Country Group","Ländergruppe"
"Tax Rate","Steuersatz"
"ERPNext Tax Account","ERPNext-Steuerkonto"
"BMD Result","BMD-Ergebnis"
"BMD Tax Code","BMD-Steuercode"
"Tax Amount Source","Quelle des Steuerbetrags"
"BMD Tax Sign Rule","BMD-Steuervorzeichenregel"
"Use as BMD Tax Component","Als BMD-Steuerkomponente verwenden"
"Tax Included in BMD Amount","Steuer im BMD-Betrag enthalten"
"Input Tax Deductible","Vorsteuer abzugsfähig"
"BMD Branch","BMD-Filiale"
"OSS Target Country","OSS-Zielland"
"OSS Schema","OSS-Schema"
"OSS UID","OSS-UID"
"BMD Company Number","BMD-Firmennummer"
"Export Profile","Exportprofil"
"CSV Filename","CSV-Dateiname"
"Invoice Rules","Rechnungsregeln"
"Include Booking Date","Buchungsdatum ausgeben"
"Purchase Invoice BMD Voucher Number","BMD-Belegnummer für Eingangsrechnungen"
"Use Satzart 1 KORE Allocations","KORE-Aufteilungen als Satzart 1 ausgeben"
"Include Foreign Exchange Rate","Fremdwährungskurs ausgeben"
"Default BMD Cost Center","Standard-BMD-Kostenstelle"
"Default BMD Branch","Standard-BMD-Filiale"
"Documents","Dokumente"
"Require Sales Invoice Attachment","Anhang bei Ausgangsrechnungen erforderlich"
"Require Purchase Invoice Attachment","Anhang bei Eingangsrechnungen erforderlich"
"Allowed Extensions","Erlaubte Dateiendungen"
"Allowed MIME Types","Erlaubte MIME-Typen"
"Maximum File Size (MB)","Maximale Dateigröße (MB)"
"Generate Sales Invoice PDF if Missing","Fehlendes Ausgangsrechnungs-PDF erzeugen"
"Sales Invoice Print Format","Druckformat für Ausgangsrechnungen"
"Document Filename Template","Vorlage für Dokumentdateinamen"
"Limits and Retention","Grenzwerte und Aufbewahrung"
"Maximum Satzart 0 Rows","Maximale Anzahl Satzart-0-Zeilen"
"Artifact Retention (Days)","Aufbewahrung der Exportdateien (Tage)"
"Profile Name","Profilname"
